,GiaTien,Hang,DongXe,NamSanXuat,SoKmDaDi,TinhTrang,HopSo,NhienLieu,XuatXu,KieuDang,SoCho,DiaDiem
10177,385000000.0,Hyundai,Grand i10,2019,100000,Cũ,Tự động,Xăng,Trong nước,Hatchback,5,Hà Nội
10178,689000000.0,Hyundai,Grand Starex,2017,80000,Cũ,Số sàn,Dầu,Nhập khẩu,SUV / Cross over,9,hanh Hóa
10179,285000000.0,Toyota,Innova,2008,150000,Cũ,Số sàn,Xăng,Trong nước,Minivan (MPV),8,Phú Thọ
10180,635000000.0,Kia,Cerato,2019,18699,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hà Nội
10181,315000000.0,Toyota,Vios,2015,52000,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hà Nội
10182,155000000.0,Daewoo,Lacetti,2009,10000,Cũ,Số sàn,Xăng,Trong nước,Hatchback,5,Hà Nội
10183,525000000.0,Kia,Cerato,2018,40,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
10184,565000000.0,Ford,Ranger,2017,40000,Cũ,Tự động,Dầu,Nhập khẩu,Pick-up (bán tải),5,Hà Nội
10186,555000000.0,Toyota,Fortuner,2011,75000,Cũ,Số sàn,Dầu,Nhập khẩu,SUV / Cross over,7,Hà Nội
10187,385000000.0,Hyundai,Grand i10,2018,47000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hà Nội
10189,535000000.0,Toyota,Vios,2019,38000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hà Nội
10193,685000000.0,Toyota,Fortuner,2015,86000,Cũ,Số sàn,Dầu,Trong nước,SUV / Cross over,7,Phú Thọ
10195,155000000.0,Daewoo,Lacetti,2008,150000,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Phú Thọ
10196,410000000.0,Toyota,Vios,2018,40000,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hà Nội
10198,455000000.0,Toyota,Fortuner,2009,155000,Cũ,Số sàn,Dầu,Trong nước,SUV / Cross over,7,Phú Thọ
10199,435000000.0,Nissan,Teana,2010,117000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Phú Thọ
10200,625000000.0,Honda,CR V,2013,80000,Cũ,Tự động,Xăng,Trong nước,SUV / Cross over,5,Hải Phòng
10201,249000000.0,Hyundai,Grand i10,2015,55,Cũ,Số sàn,Xăng,Trong nước,Hatchback,5,Bình Dương
10202,325000000.0,Toyota,Vios,2014,130000,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Phú Thọ
10203,335000000.0,Hyundai,Grand i10,2015,38000,Cũ,Tự động,Xăng,Nhập khẩu,Hatchback,5,Hà Nội
10204,485000000.0,Hyundai,Elantra,2018,45000,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
10206,565000000.0,Ford,Transit,2018,36000,Cũ,Số sàn,Dầu,Trong nước,Minivan (MPV),16,Hồ Chí Minh
10207,160000000.0,Isuzu,Dmax,2007,20000,Cũ,Số sàn,Dầu,Trong nước,Pick-up (bán tải),5,Kiên Giang
10209,156000000.0,Kia,Cerato,2008,152000,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Bình Phước
10210,998000000.0,Toyota,Fortuner,2019,20000,Cũ,Tự động,Dầu,Nhập khẩu,SUV / Cross over,7,Hồ Chí Minh
10211,37000000.0,Honda,Accord,1987,133333,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Kon Tum
10212,620000000.0,Honda,CR V,2013,39000,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,5,Đắk Lắk
10213,2150000000.0,Mercedes Benz,GLC,2019,7200,Cũ,Tự động,Xăng,Trong nước,SUV / Cross over,5,Hồ Chí Minh
10216,700000000.0,Toyota,Fortuner,2013,120000,Cũ,Số sàn,Dầu,Nhập khẩu,SUV / Cross over,7,Nghệ An
10217,470000000.0,Kia,Cerato,2018,60000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hải Dương
10218,385000000.0,Hyundai,Accent,2019,4,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Đồng Nai
10220,599000000.0,Toyota,Fortuner,2015,190000,Cũ,Số sàn,Dầu,Trong nước,SUV / Cross over,7,Hồ Chí Minh
10221,608000000.0,Mitsubishi,Xpander,2019,20000,Cũ,Tự động,Xăng,Nhập khẩu,Minivan (MPV),5,Hồ Chí Minh
10222,395000000.0,Mazda,BT 50,2013,150000,Cũ,Số sàn,Dầu,Nhập khẩu,Pick-up (bán tải),5,Kon Tum
10224,105000000.0,Mercedes Benz,E Class,2000,238989,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hà Nội
10226,315000000.0,Kia,Carens,2015,111,Cũ,Số sàn,Xăng,Nhập khẩu,SUV / Cross over,5,Cần Thơ
10228,90000000.0,Mitsubishi,Dòng khác,2000,90000,Cũ,Số sàn,Xăng,Nhập khẩu,Kiểu dáng khác,7,Bến Tre
10229,1030000000.0,Toyota,Camry,2019,5000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Hà Nội
10230,420000000.0,Chevrolet,Cruze,2017,57000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Hồ Chí Minh
10231,490000000.0,Honda,City,2018,31000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Đồng Nai
10235,465000000.0,Toyota,Vios,2017,45000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hà Nội
10237,638000000.0,Mazda,CX 5,2015,61000,Cũ,Tự động,Xăng,Trong nước,SUV / Cross over,5,Hà Nội
10241,660000000.0,Toyota,Corolla Altis,2017,51000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Đồng Nai
10242,650000000.0,Chevrolet,Colorado,2017,100000,Cũ,Tự động,Dầu,Trong nước,Pick-up (bán tải),5,Hồ Chí Minh
10243,318000000.0,Toyota,Vios,2015,6000,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hà Nội
10245,221000000.0,Hyundai,Grand i10,2015,6895,Cũ,Số sàn,Xăng,Nhập khẩu,Hatchback,5,Quảng Ninh
10246,575000000.0,Mazda,CX 5,2013,63000,Cũ,Tự động,Xăng,Trong nước,SUV / Cross over,5,Hà Nội
10248,155000000.0,Daewoo,Lacetti,2008,182000,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Vĩnh Phúc
10250,528000000.0,Toyota,Vios,2019,5000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
10252,610000000.0,Hyundai,Elantra,2018,42000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
10253,340000000.0,Kia,Forte,2011,88000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hà Nội
10254,445000000.0,Ford,Ranger,2015,85000,Cũ,Số sàn,Dầu,Nhập khẩu,Pick-up (bán tải),5,Hà Nội
10255,400000000.0,Peugeot,207,2006,90,Cũ,Tự động,Xăng,Nhập khẩu,Mui trần,4,Hồ Chí Minh
10257,475000000.0,Toyota,Yaris,2015,61000,Cũ,Tự động,Xăng,Nhập khẩu,Hatchback,5,Hồ Chí Minh
10258,979000000.0,BMW,3 Series,2016,39000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,4,Hồ Chí Minh
10259,616000000.0,Toyota,Innova,2018,53000,Cũ,Số sàn,Xăng,Trong nước,Minivan (MPV),8,Hồ Chí Minh
10260,555000000.0,Ford,Transit,2018,80000,Cũ,Số sàn,Dầu,Trong nước,Minivan (MPV),16,Hồ Chí Minh
10261,393000000.0,Mercedes Benz,R Class,2006,80000,Cũ,Tự động,Xăng,Nhập khẩu,Minivan (MPV),8,Hồ Chí Minh
10262,1199000000.0,Toyota,Camry,2019,200,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Hồ Chí Minh
10267,830000000.0,Toyota,Fortuner,2017,50000,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,7,Hà Nội
10268,390000000.0,Audi,A4,2008,116000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Đồng Nai
10270,210000000.0,Hyundai,County,2006,530000,Cũ,Số sàn,Dầu,Nhập khẩu,Kiểu dáng khác,Khác,Hồ Chí Minh
10271,390000000.0,Mitsubishi,Grunder,2009,83000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Hà Nội
10272,299000000.0,Chevrolet,Cruze,2015,56,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Đồng Nai
10274,545000000.0,Honda,City,2019,15000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Sóc Trăng
10276,730000000.0,Ford,Ranger,2019,16000,Cũ,Tự động,Dầu,Nhập khẩu,Pick-up (bán tải),5,Hà Nội
10279,750000000.0,Toyota,Camry,2016,66000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hà Nội
10281,295000000.0,Kia,Morning,2015,52000,Cũ,Tự động,Xăng,Trong nước,Hatchback,5,Hà Nội
10282,328000000.0,Mitsubishi,Pajero,2008,100000,Cũ,Số sàn,Xăng,Nhập khẩu,SUV / Cross over,5,Hà Nội
