,count,mean,std,min,25%,50%,75%,max
DongXe_c200_kompressor,37486.0,2.6676625940351065e-05,0.00516494200745285,0.0,0.0,0.0,0.0,1.0
DongXe_c300,37486.0,0.0010670650376140426,0.032648963932998515,0.0,0.0,0.0,0.0,1.0
DongXe_cabriolet,37486.0,8.00298778210532e-05,0.008945703317957483,0.0,0.0,0.0,0.0,1.0
DongXe_cadenza,37486.0,8.00298778210532e-05,0.008945703317957483,0.0,0.0,0.0,0.0,1.0
DongXe_camaro,37486.0,5.335325188070213e-05,0.007304233605108039,0.0,0.0,0.0,0.0,1.0
DongXe_camry,37486.0,0.024409112735421224,0.15431766984550516,0.0,0.0,0.0,0.0,1.0
DongXe_captiva,37486.0,0.007149335752014085,0.08425207482313858,0.0,0.0,0.0,0.0,1.0
DongXe_caravan,37486.0,2.6676625940351065e-05,0.005164942007452849,0.0,0.0,0.0,0.0,1.0
DongXe_carens,37486.0,0.005708797951235128,0.07534161534831156,0.0,0.0,0.0,0.0,1.0
DongXe_carina,37486.0,5.335325188070213e-05,0.007304233605108039,0.0,0.0,0.0,0.0,1.0
DongXe_carnival,37486.0,0.001307154671077202,0.03613143843756044,0.0,0.0,0.0,0.0,1.0
DongXe_cayenne,37486.0,0.0005068558928666702,0.022508054218053165,0.0,0.0,0.0,0.0,1.0
DongXe_cd5,37486.0,0.0010670650376140426,0.032648963932998515,0.0,0.0,0.0,0.0,1.0
DongXe_cedric,37486.0,0.00010670650376140426,0.010329470645929964,0.0,0.0,0.0,0.0,1.0
DongXe_cefiro,37486.0,8.00298778210532e-05,0.008945703317957483,0.0,0.0,0.0,0.0,1.0
DongXe_celerio,37486.0,0.0005068558928666702,0.022508054218053165,0.0,0.0,0.0,0.0,1.0
DongXe_centennial,37486.0,0.00010670650376140426,0.010329470645929964,0.0,0.0,0.0,0.0,1.0
DongXe_cerato,37486.0,0.020674385103772074,0.14229369290029825,0.0,0.0,0.0,0.0,1.0
DongXe_cerato koup,37486.0,0.0002934428853438617,0.017127889612987068,0.0,0.0,0.0,0.0,1.0
DongXe_chairman,37486.0,8.00298778210532e-05,0.008945703317957483,0.0,0.0,0.0,0.0,1.0
DongXe_chariot,37486.0,5.335325188070213e-05,0.007304233605108038,0.0,0.0,0.0,0.0,1.0
DongXe_chevyvan,37486.0,2.6676625940351065e-05,0.005164942007452849,0.0,0.0,0.0,0.0,1.0
DongXe_ciaz,37486.0,0.0015205676786000106,0.038965318625038194,0.0,0.0,0.0,0.0,1.0
DongXe_cielo,37486.0,0.00042682601504561704,0.020655634009153743,0.0,0.0,0.0,0.0,1.0
DongXe_citivan,37486.0,0.0007736221522701809,0.027803673916388768,0.0,0.0,0.0,0.0,1.0
DongXe_city,37486.0,0.012991516832950968,0.11323903655463811,0.0,0.0,0.0,0.0,1.0
DongXe_civic,37486.0,0.012351277810382543,0.11044930591137726,0.0,0.0,0.0,0.0,1.0
DongXe_cl,37486.0,5.335325188070213e-05,0.0073042336051080394,0.0,0.0,0.0,0.0,1.0
DongXe_cla class,37486.0,0.0009336819079122872,0.03054234815626178,0.0,0.0,0.0,0.0,1.0
DongXe_cla200,37486.0,5.335325188070213e-05,0.007304233605108038,0.0,0.0,0.0,0.0,1.0
DongXe_cla250,37486.0,5.335325188070213e-05,0.007304233605108039,0.0,0.0,0.0,0.0,1.0
DongXe_click,37486.0,0.00048017926692631917,0.021908023611254757,0.0,0.0,0.0,0.0,1.0
DongXe_clk class,37486.0,0.00010670650376140426,0.010329470645929964,0.0,0.0,0.0,0.0,1.0
DongXe_cls class,37486.0,0.0001600597556421064,0.01265062867218139,0.0,0.0,0.0,0.0,1.0
DongXe_colorado,37486.0,0.0027210158459158086,0.05209303514504946,0.0,0.0,0.0,0.0,1.0
